village_name,supporter_count
ARJOSARI,158
ARJOWINANGUN,187
BAKALANKRAJAN,6
BALEARJOSARI,20
BANDULAN,871
BANDUNGREJOSARI,371
BARENG,150
BLIMBING,288
BUMIAYU,177
BUNULREJO,391
BURING,146
CEMOROKANDANG,160
CIPTOMULYO,121
DINOYO,186
GADANG,175
GADING KASRI,11
JATIMULYO,405
JODIPAN,411
KARANGBESUKI,27
KASIN,37
KAUMAN,107
KEBONSARI,101
KEDUNGKANDANG,265
KESATRIAN,135
KETAWANGGEDE,297
KIDULDALEM,167
KLOJEN,44
KOTALAMA,635
LESANPURO,618
LOWOKWARU,258
MADYOPURO,649
MERGOSONO,181
MERJOSARI,216
MOJOLANGU,296
MULYOREJO,234
ORO-ORO DOWO,110
PANDANWANGI,850
PENANGGUNGAN,221
PISANGCANDI,112
POLEHAN,145
POLOWIJEN,46
PURWANTORO,726
PURWODADI,184
RAMPALCELAKET,65
SAMAAN,445
SAWOJAJAR,382
SUKOHARJO,131
SUKUN,1881
SUMBERSARI,51
TANJUNGREJO,1646
TASIK MADU,143
TLOGOMAS,73
TLOGOWARU,76
TULUSREJO,252
TUNGGULWULUNG,197
TUNJUNGSEKAR,220
WONOKOYO,129
